名稱,評級,地址,營業時間
石碇牌樓,4.8,石碇區,無營業時間資訊
黃蟬園,4.1,"No. 36, 福德街251巷信義區",{'open_now': False}
福德坑環保復育公園,4.2,文山區木柵路五段43巷151號,{'open_now': True}
三峽老街,4.2,三峽區民權街37-147號,{'open_now': True}
庶民美術館,4.7,三峽區民權街110號,{'open_now': True}
藍染展示中心,4.2,三峽區中山路20巷3號,{'open_now': False}
三峽老街漫遊趣,5,三峽區237,無營業時間資訊
李梅樹紀念館,4.4,三峽區中華路43巷10號,{'open_now': False}
小山合本,5,三峽區民權街170巷,{'open_now': False}
鶯歌陶瓷老街,4.2,鶯歌區尖山埔路,{'open_now': True}
鶯歌老街陶館,4.1,鶯歌區重慶街95號 95/99/101號,{'open_now': True}
鶯歌老街,4.4,鶯歌區育英街67號3F,{'open_now': True}
鶯歌永吉公園,4.3,鶯歌區鶯桃路294號,{'open_now': True}
鳳祥公園,4.3,鶯歌區鶯桃路413巷,{'open_now': True}
打鳥埤人工溼地,4.3,土城區擺接堡路,{'open_now': True}
土城翠湖,4.3,土城區忠義路127號,{'open_now': True}
Mr.湯,5,土城區中央路二段211號,無營業時間資訊
寶光園,5,鶯歌區國際二路12巷30號,無營業時間資訊
貓頭鷹守護 鳳福公園,4.2,鶯歌區鳳福路,{'open_now': True}
鹿角溪人工濕地,4.1,樹林區環漢路五段24號,{'open_now': True}
淺沐道休閒農莊,4.2,萬里區達天19之1號,{'open_now': False}
黑丸嫩仙草-DIY教室,4.1,樹林區俊英街56-7號,{'open_now': False}
浮洲親民公園,4.3,板橋區大觀路二段247號,{'open_now': True}
浮洲人工濕地,4.3,板橋區,{'open_now': True}
新莊河濱自行車道,4.3,新莊區環河路大漢溪自行車道,{'open_now': True}
環河公園,4.1,板橋區南雅西路二段301巷41弄,{'open_now': True}
湳仔溝津渡橋,5,板橋區板城路296號,{'open_now': True}
水尾灣園區,4.1,汐止區,無營業時間資訊
五堵獅頭山,4.1,汐止區,{'open_now': True}
汐止星光公園,4.2,汐止區建成路178巷8-12號,{'open_now': True}
菁桐老街,4.2,平溪區菁桐街,無營業時間資訊
碳場咖啡-百大歷史建築(選洗煤場),4.5,平溪區菁桐街50號,{'open_now': False}
菁桐車站,4.5,平溪區菁桐街46-48號,無營業時間資訊
菁桐煤礦紀念公園（石底大斜坑）,4.2,平溪區菁桐街50號,{'open_now': True}
菁桐礦業生活館,4.2,平溪區菁桐街113-117號,{'open_now': False}
石筍尖,4.4,平溪區,{'open_now': True}
峰頭尖東峰,4.1,平溪區,{'open_now': True}
空軍三重一村,4.3,三重區正義南路86巷,{'open_now': True}
婚紗廣場（告白廣場）,4.3,三重區,{'open_now': True}
同安公園,4.2,三重區文化南路& 福德南路,{'open_now': True}
新北大都會公園,4.5,三重區水漾路一段,{'open_now': True}
新北大都會公園熊猴森樂園,4.6,三重區水漾路一段,{'open_now': True}
三重六合公園,4.1,三重區自強路二段50巷,{'open_now': True}
二重疏洪運動公園,4.2,三重區二重疏洪道,{'open_now': True}
山頂公園,4.4,泰山區,{}
蘆洲環河公園(線型公園),4.1,蘆洲區中正路509巷509-10號,{'open_now': True}
彩虹兒童公園,4.2,蘆洲區光榮路120巷8弄,{'open_now': True}
蘆洲李宅古蹟,4.3,蘆洲區中正路243巷19號,{'open_now': False}
五股開心農場,5,五股區北58鄉道7號,無營業時間資訊
牛港稜,4.5,新北市八里區,{'open_now': True}
牛港稜步道,4.3,五股區,{'open_now': True}
觀音山遊客中心 (觀音山管理站),4.4,五股區凌雲路三段130號,{'open_now': False}
八里商港公園（公七）,4.1,八里區商港三路商港一路商港七路交叉口,{'open_now': True}
福德水車生態園區,4.1,三芝區八連溪1之3號,{'open_now': True}
三芝有機農場,4.3,新北市三芝區福德村8鄰14號,{'open_now': True}
新美河購物廣場,5,新店區中央路157號,無營業時間資訊
京站時尚廣場 小碧潭店三樓停車場,5,新店區中央路157號159號2樓,無營業時間資訊
京站時尚廣場 小碧潭店,4.1,新店區中央路157號5樓,{'open_now': True}
艾葳國際美麗股份有限公司,4.6,新店區斯馨路71巷60號9樓之一號,{'open_now': True}
J-MART佳瑪,4.1,新店區建國路268號,{'open_now': True}
全球通生活事業有限公司(LONGWULA購物中心),5,中和區建一路186號樓之1,{'open_now': True}
購物狂小姐韓國服飾/金薇無鋼圈內衣,5,中和區圓通路367巷20弄27號1樓,{'open_now': False}
上馳國際 RF/motorsport Ltd,5,中和區中正路545號,{'open_now': True}
家傳香佛俱香業用品批發,4.4,中和區莒光路222-6號222-8號1樓1樓,{'open_now': True}
華麗百貨行,5,中和區中和路48號,無營業時間資訊
比漾廣場 新北永和,4.1,永和區中山路一段238號,{'open_now': True}
永利廣場,4.5,永和區永利路47號,無營業時間資訊
享亮文具樂園-木柵店,4.3,文山區木柵路三段17號,{'open_now': True}
全聯福利中心Pxmart 文山忠順,4.2,文山區忠順街二段22號,{'open_now': True}
萊爾富便利商店 新店全球店,4.2,新店區寶橋路235巷128號,{'open_now': True}
深坑廟口轉蛋,4.6,深坑區深坑街151號,{'open_now': True}
我家蔬果園,4.5,深坑區北深路三段256號,{'open_now': True}
美廉社深坑北深店,4.1,深坑區北深路一段119號,{'open_now': True}
良基建材行,4.5,深坑區烏月路98號,{'open_now': False}
順美百貨行,5,三峽區民生街139號,{'open_now': True}
栩瑄精品屋,5,三峽區中華路28巷10號,{'open_now': True}
自由聯盟超市 三角湧店,4.1,三峽區中華路28巷2號,{'open_now': True}
華歌爾內衣三峽門市(國民旅遊卡特約商店/銀聯/五倍券/Line pay),5,三峽區文化路116號,{'open_now': True}
家樂福超市三峽中山店,4.3,三峽區中山路171號,{'open_now': True}
金進越南雜貨,4.5,三峽區民生街146巷15號,{'open_now': True}
新北市網路購物服務人員職業工會-三峽服務處,5,三峽區中華路19號2樓,{'open_now': True}
雅的詩琉璃珠寶,5,鶯歌區重慶街99號,{'open_now': False}
春福水晶藝品,4.5,鶯歌區重慶街61號,{'open_now': True}
台灣宜龍官方購物網站,5,鶯歌區大湖路187號,{'open_now': True}
自由聯盟超市,4.2,鶯歌區建國路280-1號,{'open_now': True}
達揚佛教文物藝品,4.3,土城區中央路三段32號號,{'open_now': True}
宏鑫食品有限公司,4.5,土城區自強街31-1號,{'open_now': True}
大潤發 土城店,4.1,土城區永安街25號,{'open_now': True}
華歌爾內衣土城中央門市(國民旅遊卡特約/銀聯/5倍卷/線上線下行動支付/Line pay),5,土城區中央路二段212號,{'open_now': True}
天天購物台,5,土城區中華路二段207號1樓,無營業時間資訊
家樂福超市 土城日月光店,4.1,土城區學府路二段210號B2,{'open_now': True}
SHOWBA小北百貨-新北土城中央店,4.4,土城區中央路二段326號,{'open_now': True}
百樂超市大湖店,4.5,鶯歌區大湖路380號,{'open_now': True}
諸羅山檳榔批發,5,樹林區中華路,{}
OK便利商店 樹林文化店,4.6,樹林區文化街53號1樓,{'open_now': True}
好貨多五金百貨廣場,4.1,樹林區八德街188號,{'open_now': True}
青禾坊,5,樹林區中華路192-15號,{'open_now': True}
雯品名店,5,樹林區鎮前街3號,{'open_now': True}
全聯福利中心Pxmart 樹林八德店,4.5,樹林區八德街331號333號,{'open_now': True}
美廉社-樹林文化店,4.2,樹林區文化街19號,{'open_now': True}
新泰昇生活商店,4.5,板橋區大觀路二段37巷61號,{'open_now': True}
美安Shop.com經銷商,5,汐止區建成路57巷56號,{'open_now': True}
仕欣便利商店,5,汐止區建成路160巷45號,{'open_now': True}
菁桐木珍大小天燈專賣店,5,平溪區菁桐街129號,{'open_now': True}
春美商店,5,平溪區路20號,{'open_now': True}
阿純茶園,4.5,坪林區里三之三號,{'open_now': True}
玩酷子弟男內褲網路購物,4.5,三重區朝陽街30號,{'open_now': True}
婷婷揪團購,4.4,新莊區建安街70號,{'open_now': True}
福基購物商場,4.3,新莊區,{'open_now': True}
明春福水電材料,4.6,"No, No. 340福營路新莊區",{'open_now': True}
盈福食品行,5,新莊區福營路115-2號115-1號 242 02 號242 2 號,{'open_now': True}
益順商店,4.5,林口區北77鄉道,無營業時間資訊
佳麗寶 Kanebo 蘆州佳瑪店,5,蘆洲區長榮路8號,{'open_now': True}
銀穗en-suey徐匯購物廣場,5,蘆洲區中山一路8號,{'open_now': True}
佳瑪百貨股份有限公司,4.6,蘆洲區長榮路8號,{'open_now': True}
虎兒寶有限公司,5,蘆洲區光榮路61巷5號1樓,{'open_now': False}
金元寶購物中心,5,蘆洲區中山一路236號,無營業時間資訊
徐匯廣場,4.1,蘆洲區中山一路8號,{'open_now': True}
鴿子購物PGStore - 蘆洲徐匯店,4.4,蘆洲區中山一路85號,{'open_now': True}
佳瑪 蘆洲店,4.2,蘆洲區長榮路8號,{'open_now': True}
糖辛子日韓食品-長安店,5,蘆洲區長安街83號,{'open_now': True}
盈嘉汽車商行,5,五股區民義路一段310-30號,{}
凱威紙器,4.8,五股區民義路一段220巷7號,無營業時間資訊
巧珍精品,5,五股區民義路一段32號,無營業時間資訊
芬妮珠寶五股門市,4.6,"號 No. 131, 成泰路二段五股區",{'open_now': True}
兆亨家庭用品百貨批發,4.5,八里區荖阡坑路7鄰24-12號,{'open_now': True}
TOKO INDO KLIK KLOP,4.2,八里區訊塘路7號,{'open_now': True}
統友生活百貨 - 八里店 (大龍大賣場),4.2,八里區里華峰一街27-1 號,{'open_now': True}
自由聯盟生鮮超市,4.1,八里區中華路二段486號,{'open_now': True}
好適文房四寶,4.2,八里區中山路二段233號號,{'open_now': True}
全聯福利中心 PXmart 八里商港,4.8,八里區商港一路197號,{'open_now': True}
美廉社-八里中山二店,4.4,八里區中山路二段239號,{'open_now': True}
必昇文具百貨行,4.5,八里區訊埔路8號,{'open_now': True}
美麗新廣場 淡海館,4.1,淡水區義山路二段301號,{'open_now': True}
日青小物 (要自取提前蝦皮上預約),5,淡水區淡金路三段367號,{'open_now': True}
蝴蝶梹工坊,5,淡水區淡金路二段605號,{'open_now': True}
富聯商店,4.5,淡水區淡金路三段302號,{'open_now': True}
貝福多MARIPOSA-廣聖企業股份有限公司,5,淡水區下圭柔山119-5號,{'open_now': False}
源湲百貨行,5,三芝區中正路一段31號,{'open_now': True}
源盛百貨行,5,三芝區中山路一段103號,無營業時間資訊
葉新興商店,5,三芝區育英街,{'open_now': True}
PX MART Sanzhi Zhongxing Store,4.3,三芝區中興街二段71號,{'open_now': True}
安德魯流行館,4.1,三芝區中山路一段67號,{'open_now': True}
萊爾富便利商店 北縣芝蘭店,4.1,三芝區中正路一段68號,{'open_now': True}
OK便利商店 三芝長勤店,4.1,三芝區中山路一段153號,{'open_now': True}
五金行,4.2,三芝區淡金路一段65號,{'open_now': True}
統友生活百貨 - 三芝店,4.1,三芝區淡金路二段41號之1號1樓,{'open_now': True}
美廉社-三芝中山店,4.2,三芝區中山路一段47號,{'open_now': True}
善富蓁商行,4.5,三芝區252,{'open_now': True}
阿三哥水果城,5,三芝區民生街34號,{'open_now': True}
